Date;Open;High;Low;Close*;Adj Close**;Volume
21/04/2023;77.13;78.39;76.72;77.87;77.87;291,114
20/04/2023;78.87;78.89;76.97;77.29;77.29;361,413
19/04/2023;80.92;81.18;78.46;79.16;79.16;78,310
18/04/2023;81.00;81.48;79.87;80.86;80.86;96,290
17/04/2023;82.48;82.71;80.47;80.83;80.83;217,048
14/04/2023;82.40;83.12;81.76;82.52;82.52;275,129
13/04/2023;83.22;83.44;82.11;82.16;82.16;261,230
12/04/2023;81.44;83.53;81.28;83.26;83.26;356,133
11/04/2023;79.88;81.59;79.37;81.53;81.53;309,683
10/04/2023;80.50;81.22;79.61;79.74;79.74;264,906
06/04/2023;80.37;80.96;79.65;80.70;80.70;-
05/04/2023;81.01;81.24;79.72;80.61;80.61;254,974
04/04/2023;80.44;81.81;79.61;80.71;80.71;343,570
03/04/2023;80.10;81.69;79.00;80.42;80.42;547,126
31/03/2023;74.37;75.72;73.77;75.67;75.67;304,361
30/03/2023;72.98;74.63;72.61;74.37;74.37;269,743
29/03/2023;73.61;74.37;72.76;72.97;72.97;312,669
28/03/2023;72.86;73.93;72.19;73.20;73.20;328,472
27/03/2023;69.42;73.10;69.13;72.81;72.81;353,598
24/03/2023;69.51;70.38;66.82;69.26;69.26;380,852
23/03/2023;69.95;71.67;69.14;69.96;69.96;335,241
22/03/2023;69.48;71.31;68.89;70.90;70.90;337,639
21/03/2023;67.62;69.60;66.77;69.33;69.33;409,495
20/03/2023;66.62;67.70;64.12;67.64;67.64;76,873
17/03/2023;68.26;69.64;65.17;66.74;66.74;152,255
16/03/2023;68.22;69.38;65.71;68.35;68.35;327,120
15/03/2023;71.56;72.56;65.65;67.61;67.61;555,164
14/03/2023;74.70;74.90;70.78;71.33;71.33;432,858
13/03/2023;76.60;77.47;72.30;74.80;74.80;457,423
10/03/2023;75.65;77.11;74.77;76.68;76.68;371,834
09/03/2023;76.50;78.06;75.43;75.72;75.72;349,960
08/03/2023;77.32;77.73;76.11;76.66;76.66;335,930
07/03/2023;80.50;80.94;77.06;77.58;77.58;398,241
06/03/2023;79.92;80.63;78.32;80.46;80.46;292,351
03/03/2023;77.89;79.90;75.83;79.68;79.68;374,201
02/03/2023;77.74;78.59;77.23;78.16;78.16;260,331
01/03/2023;76.85;77.85;76.12;77.69;77.69;342,121
28/02/2023;75.76;77.83;75.55;77.05;77.05;300,093
27/02/2023;76.42;76.82;74.99;75.68;75.68;266,091
24/02/2023;75.60;76.63;74.09;76.32;76.32;329,254
23/02/2023;73.92;75.99;73.83;75.39;75.39;333,838
22/02/2023;76.11;76.55;73.80;73.95;73.95;332,018
21/02/2023;76.53;77.51;75.69;76.16;76.16;402,351
17/02/2023;78.07;78.25;75.06;76.34;76.34;93,267
16/02/2023;78.54;79.54;77.92;78.49;78.49;117,600
15/02/2023;78.83;79.15;77.25;78.59;78.59;264,486
14/02/2023;79.06;79.61;77.46;79.06;79.06;299,938
13/02/2023;79.94;80.62;78.45;80.14;80.14;301,299
10/02/2023;77.68;80.33;77.47;79.72;79.72;356,062
09/02/2023;78.45;78.84;76.52;78.06;78.06;324,156
08/02/2023;77.49;78.57;77.08;78.47;78.47;353,468
07/02/2023;74.57;77.60;74.35;77.14;77.14;408,279
06/02/2023;73.23;74.51;72.25;74.11;74.11;380,028
03/02/2023;75.92;78.00;73.10;73.39;73.39;413,414
02/02/2023;76.79;77.24;74.97;75.88;75.88;339,755
01/02/2023;79.06;79.73;76.05;76.41;76.41;360,859
31/01/2023;77.91;79.25;76.55;78.87;78.87;312,734
30/01/2023;80.04;80.49;77.66;77.90;77.90;327,426
27/01/2023;81.22;82.48;79.04;79.68;79.68;367,588
26/01/2023;80.48;82.14;79.92;81.01;81.01;291,060
25/01/2023;80.26;81.23;79.45;80.15;80.15;297,234
24/01/2023;81.62;82.22;79.66;80.13;80.13;288,207
23/01/2023;81.79;82.64;81.05;81.62;81.62;297,076
20/01/2023;80.60;81.64;79.69;81.31;81.31;300,145
19/01/2023;79.14;81.18;78.13;80.33;80.33;58,863
18/01/2023;80.97;82.38;78.94;79.48;79.48;92,549
17/01/2023;80.10;81.23;78.53;80.18;80.18;312,275
16/01/2023;80.10;80.22;78.53;78.85;78.85;283,539
13/01/2023;78.32;80.11;77.97;79.86;79.86;283,539
12/01/2023;77.70;79.16;77.10;78.39;78.39;307,705
11/01/2023;74.78;77.84;74.31;77.41;77.41;350,891
10/01/2023;74.86;75.92;73.84;75.12;75.12;307,430
09/01/2023;73.47;76.74;73.47;74.63;74.63;329,290
06/01/2023;73.97;75.47;73.24;73.77;73.77;258,128
05/01/2023;73.25;74.92;72.46;73.67;73.67;300,731
04/01/2023;77.25;77.42;72.73;72.84;72.84;352,434
03/01/2023;80.57;81.50;76.60;76.93;76.93;338,520
02/01/2023;-;-;-;-;-;-
30/12/2022;78.73;80.67;77.71;80.26;80.26;205,909
29/12/2022;78.82;78.82;76.79;78.40;78.40;199,858
28/12/2022;79.89;79.92;77.30;78.96;78.96;207,717
27/12/2022;79.90;81.18;79.16;79.53;79.53;199,601
26/12/2022;-;-;-;-;-;-
23/12/2022;78.18;80.33;77.98;79.56;79.56;237,711
22/12/2022;78.43;79.90;77.03;77.49;77.49;219,142
21/12/2022;75.99;78.61;75.80;78.29;78.29;234,624
20/12/2022;75.70;76.75;74.31;76.09;76.09;254,792
19/12/2022;74.50;76.41;73.81;75.19;75.19;69,348
16/12/2022;76.37;76.57;73.33;74.29;74.29;99,205
15/12/2022;77.37;77.77;75.33;76.11;76.11;224,663
14/12/2022;75.27;77.75;74.90;77.28;77.28;292,488
13/12/2022;73.29;76.37;73.21;75.39;75.39;352,858
12/12/2022;71.79;73.99;70.25;73.17;73.17;323,553
09/12/2022;71.85;72.92;70.08;71.02;71.02;356,722
08/12/2022;72.38;75.44;71.12;71.46;71.46;474,459
07/12/2022;74.55;75.38;71.75;72.01;72.01;392,236
06/12/2022;77.35;77.88;73.41;74.25;74.25;380,598
05/12/2022;79.99;82.72;76.77;76.93;76.93;346,657
02/12/2022;81.47;82.22;79.65;79.98;79.98;280,235
01/12/2022;80.40;83.34;79.93;81.22;81.22;321,432
30/11/2022;79.00;81.38;78.40;80.55;80.55;287,534
